Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
e flexibility of online dates means that o<BACKSPACE1>people can get to know potential partners from teh <BACKSPACE3>e <BACKSPACE2>he como<BACKSPACE1>fort of their own homes. <ENTER1>On eht o<BACKSPACE5>the oth,1.263,mid word,0,100,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,12
"er hand, ther eis n<BACKSPACE10>",4.112,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
it can be difficult to get to know,1.44,end VP,9,14,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12
other people in a pr<BACKSPACE1>urely digital engi<BACKSPACE2>i<BACKSPACE1>vidon<BACKSPACE4>,1.04,mid word,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,12
"irdonm<BACKSPACE4>ron<BACKSPACE3>onment, so",2.095,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
it is posssible to g<BACKSPACE1>fel<BACKSPACE1>el like,3.087,end VP,5,12,NA,1,NA,NA,NA,1,NA,NA,NA,NA,12
an in-person first date is the p<BACKSPACE1>onli<BACKSPACE1>y poi<BACKSPACE1>ssibe<BACKSPACE1>le wy<BACKSPACE1>at<BACKSPACE1>y to get to know a person. There is <BACKSPACE9>if the<BACKSPACE6>I<BACKSPACE1>When interact,1.055,mid word,73,0,1,NA,NA,2,NA,NA,NA,NA,NA,NA,12
ing,2.736,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"witha st<BACKSPACE4> a stranger digitally, there is no possibil",1.503,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE21>,4.476,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><BACKSPACE1>Some might ge<BACKSPACE2>feel that w,1.359,mid word,0,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,12
<HIGHLIGHT 1547:1464><MOUSECLICK> there is no way t <BACKSPACE1>o un<BACKSPACE2>feel if they have chemistry with the person they are trying to get t <BACKSPACE1>o know <BACKSPACE1>.,1.343,end sentence,8,78,NA,1,NA,2,NA,NA,NA,NA,1,NA,12
Whie <BACKSPACE2>le this,4.4,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE11>,11.376,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
They,1.824,end NP,0,0,1,NA,1,NA,1,NA,NA,NA,NA,NA,12
might also prefer the embodied exe<BACKSPACE1>perience of,1.712,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
sharing,2.208,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"an experience with a stranger, as that can be a wa<BACKSPACE2>met<BACKSPACE3>method to",1.039,mid NP,33,18,1,NA,NA,1,1,NA,NA,NA,NA,NA,12
"get t <BACKSPACE1>o know someone more quicky<BACKSPACE1>y<BACKSPACE1>ly, as well as a method t<BACKSPACE25>y<BACKSPACE1>ly. In addition, gett<BACKSPACE4>sharing an experience with someone can be an<BACKSPACE1>",1.328,mid NP,34,8,NA,2,NA,1,1,1,NA,NA,NA,NA,12
shortcut,1.472,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE14>,3.503,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE17>can help,1.104,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"epop<BACKSPACE4>encourage e<BACKSPACE1>[epo<BACKSPACE3>p<BACKSPACE2>people feel attached to each other, as they are sharing",2.127,end VP,48,11,NA,1,NA,2,1,NA,NA,NA,NA,NA,12
"<BACKSPACE7>building memoris <BACKSPACE2>es together. As c<BACKSPACE1>such, po<BACKSPACE2>",2.944,end PP,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,12
"man<BACKSPACE12>For all of thes rea<BACKSPACE4>e reasons and more, people might feel like in-e<BACKSPACE1>person first dates are the<BACKSPACE3>better alterat<BACKSPACE3>rnatives",5.999,end sentence,10,23,NA,2,1,1,1,NA,NA,1,NA,NA,12
that encourage,1.168,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE11> make it easier to build a,2.592,mid NP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12
maningful relationsip<BACKSPACE2>hip.,1.647,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
<ENTER1>,10.047,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Both in <BACKSPACE1>-person dates and<BACKSPACE21>h online dates and in-person fi<BACKSPACE2>,1.088,mid NP,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,12
dates ar <BACKSPACE1> <BACKSPACE1>e,1.64,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>,2.511,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><MOUSECLICK>,2.311,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
easy <BACKSPACE5>methods to get to know people,3.872,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,12
"<BACKSPACE1>, and both",1.199,end NP,4,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12
are,11.68,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE5> are east<BACKSPACE1>y,6.375,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>new,1.919,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>,1.056,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE9>allow for the ex<BACKSPACE8>r tw <BACKSPACE1>o strangers (or near-strangers) to ine<BACKSPACE1>teract and g<BACKSPACE1>share infora<BACKSPACE1>mation about themselvs<BACKSPACE1>es. HOwe<BACKSPACE4>,2.272,end sentence,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,12
"In addition, both",1.327,end NP,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,1,12
methods sha<BACKSPACE3>offer poi<BACKSPACE1>st<BACKSPACE1>itives and negatives that gie<BACKSPACE1>ve peopl<BACKSPACE10>,3.392,end NP,0,34,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12
can both at,1.04,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
tract and deter potential daters<BACKSPACE16>individuals,1.04,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
"based on their dating preferences and their <BACKSPACE11>, their leves <BACKSPACE2>ls of comfort in new places and with nn<BACKSPACE1>ew people, and their",5.968,mid NP,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,12
excitement about shai<BACKSPACE8>,1.072,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
out shar<BACKSPACE4>,2.559,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE18>,16.464,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
previous experiences<BACKSPACE21> pers<BACKSPACE4>opinions about technology. Whil<BACKSPACE5> There is <BACKSPACE9>,1.151,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
"Wa<BACKSPACE1>hat works best for one potentialc<BACKSPACE1> coupl<BACKSPACE19>one person migh <BACKSPACE1>t be a nightmare for another person, so there is not<BACKSPACE1>",1.519,mid NP,0,0,2,1,NA,2,NA,NA,NA,1,1,NA,12
single right answer that is the best option for every sing<BACKSPACE9>,1.2,mid PP,0,29,NA,NA,1,1,NA,NA,NA,NA,NA,NA,12
"<BACKSPACE1>all .<BACKSPACE2> <BACKSPACE1>. Instead, couple <BACKSPACE1>s should <BACKSPACE15>",3.872,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12
everyone must figure i<BACKSPACE1>ot<BACKSPACE1>ut them<BACKSPACE2>,1.328,mid word,0,18,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12
e solution that works best for them and,1.103,end NP,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,12
give their<BACKSPACE10>communicate this wi<BACKSPACE2>to the e<BACKSPACE1>people tey<BACKSPACE2>hey are dating in order to decid <BACKSPACE1>e on a,3.999,mid NP,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,12
dating,1.296,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
experience that works fro<BACKSPACE2>r<BACKSPACE1>or boh <BACKSPACE2>t <BACKSPACE1>h people,1.424,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
", and which hopefully sets both individ<BACKSPACE1>duals up to gee<BACKSPACE3>feel fom<BACKSPACE3>comfortable and enhoy<BACKSPACE3>joy their first",4.287,mid NP,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,12
date,1.759,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE10>dates.,3.216,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>,3.223,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><ENTER1>The pandemic is also a cm<BACKSPACE1>omplicating factor when it coms<BACKSPACE1>es to in=<BACKSPACE3>,1.423,end VP,0,47,1,NA,NA,1,1,NA,NA,NA,NA,NA,12
choo<BACKSPACE4>,1.728,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
the choice of online ro<BACKSPACE2>or in-person first dates.,1.599,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
"Ove <BACKSPACE1>r the past four years, many people have de<BACKSPACE3> increased thier use<BACKSPACE9>heir <BACKSPACE5>ther<BACKSPACE1>ir use (or even stare<BACKSPACE10>sta<BACKSPACE3>",3.327,end NP,0,33,1,1,NA,1,1,NA,1,NA,NA,NA,12
started to use_<BACKSPACE1>) online communication platr<BACKSPACE1>forms that allow for in-<BACKSPACE3>synchronous video co<BACKSPACE1>alling. This c<BACKSPACE1>bc<BACKSPACE1>ecame standard in,1.743,mid PP,84,18,NA,1,NA,2,1,NA,NA,NA,NA,NA,12
<BACKSPACE3>,1.984,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"in schools and workplaces around t e<BACKSPACE2>he world, and it also became more common in social interactions. For example, g<BACKSPACE1>in<BACKSPACE3>",1.2,end PP,55,0,1,1,1,3,NA,NA,NA,NA,1,1,12
groups of <BACKSPACE10>friends who might not have considered,1.119,end VP,0,29,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12
video calling before the pandemic might have started using Z<BACKSPACE1>,1.616,end VP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,12
"Zoom or other similar platforms to stay in touch. This in tern<BACKSPACE3>urn has normal<BACKSPACE4>rmalized video commn<BACKSPACE1>unication, and many people feel more comfortable g<BACKSPACE1>using such me<BACKSPACE1>odes of commmunication than they dif<BACKSPACE1>d before the pandemic. As such,",2.623,end PP,49,0,1,2,1,3,2,NA,NA,NA,NA,1,12
<BACKSPACE9>This could lead people to,1.152,mid PP,0,20,1,NA,NA,1,1,NA,NA,NA,NA,NA,12
"<BACKSPACE15>help peole f<BACKSPACE12>encourage people to have ther <BACKSPACE2>ie r<BACKSPACE5>eir first couple od <BACKSPACE2>f ate<BACKSPACE3>dt<BACKSPACE1>ates fi<BACKSPACE2>virtually, since many people are already accusomt<BACKSPACE1>ed to <BACKSPACE8>tomedt<BACKSPACE1> to",3.248,mid PP,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,12
"virtual communication. On eht <BACKSPACE5> the other hand, many",1.775,mid NP,41,0,1,1,1,NA,1,NA,NA,NA,NA,1,12
people<BACKSPACE6>individuals feel,2.287,end VP,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
burt<BACKSPACE1>nt-,1.103,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"<BACKSPACE6>tired of virtual communication, particularlyi<BACKSPACE1> if they are already isn<BACKSPACE3>",3.056,end NP,46,11,NA,1,1,NA,NA,NA,NA,NA,NA,NA,12
working<BACKSPACE8> using it in other parts of ther<BACKSPACE1>ir lives such as wor<BACKSPACE1>rk or education. I<BACKSPACE1>,1.391,end sentence,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,12
"If someone already spend s<BACKSPACE2>s multiple hours per day on the <BACKSPACE1> computer, and particuarly facetim<BACKSPACE7>video calling other people, thy <BACKSPACE2>ey might feel less inclinde<BACKSPACE3>ned to then use video communicatio n<BACKSPACE4>ion",3.455,end sentence,2,56,NA,2,1,5,2,NA,NA,NA,NA,NA,12
for social activitie,1.199,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE16>,1.04,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
soc<BACKSPACE1>cial activities such as first dates. W<BACKSPACE1>,5.392,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
Yet<BACKSPACE3>,26.311,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>,3.511,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Either online <BACKSPACE14>,2.879,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Both line<BACKSPACE4>online first dates and in,1.103,mid PP,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,NA,12
"e<BACKSPACE1>person first dates are reasonable options, so ",1.215,end NP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12
the <BACKSPACE5> individual<BACKSPACE10>individuals,1.04,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE11>people should dec<BACKSPACE8>,1.344,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE12>amd t<BACKSPACE4>,1.071,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
nd the best solution <BACKSPACE24>,1.264,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
.,14.119,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>,1.048,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
particularly,22.56,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK> on a deep level while,1.375,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
interacting,1.183,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
only,2.095,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE5>,7.055,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<HIGHLIGHT 1501:1519><REPLACED>some,2.048,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
indivudla<BACKSPACE3>,1.136,mid word,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12
<BACKSPACE2>,1.104,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
viduals,1.152,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
might,12.624,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><HIGHLIGHT 1696:1692><MOUSECLICK>,2.032,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<REPLACED>know,1.816,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><HIGHLIGHT 1710:1709><MOUSECLICK><MOUSECLICK><HIGHLIGHT 1709:1705><MOUSECLICK><REPLACED>feel,5.208,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<HIGHLIGHT 1691:1704><BACKSPACE1><MOUSECLICK>if they have,17.472,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><MOUSECLICK><HIGHLIGHT 1814:1804><MOUSECLICK>,9.48,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"<BACKSPACE2>, sensory",1.184,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<SPACE>,4.719,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
e,1.455,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
xperience,5.487,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><HIGHLIGHT 1848:1838><MOUSECLICK>,2.223,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><HIGHLIGHT 1873:1869><MOUSECLICK><HIGHLIGHT 1950:1856><MOUSECLICK><MOUSECLICK><MOUSECLICK><MOUSECLICK><MOUSECLICK><MOUSECLICK><HIGHLIGHT 1873:1869><MOUSECLICK><REPLACED>engaging in an activity with a stranger,5.735,end NP,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,12
<HIGHLIGHT 1827:1864>,7.304,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<REPLACED>having an n<BACKSPACE1>in-person first date,9.967,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<HIGHLIGHT 1998:1994><MOUSECLICK><BACKSPACE1>,1.184,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE1>,33.447,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><BACKSPACE1>,1.183,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Changing,1.439,end VP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12
communication norms over teh ou<BACKSPACE11>since the becinn<BACKSPACE4>ginning og<BACKSPACE1>f t,2.951,end PP,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>,1.448,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
0,1.312,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<RIGHT2><LEFT1><BACKSPACE3>might <BACKSPACE6>can,1.632,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<RIGHT5> be,38.296,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>,1.88,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
effective,3.503,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><HIGHLIGHT 3631:3628><MOUSECLICK><BACKSPACE1>,1.743,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE1>,21.352,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<HIGHLIGHT 4229:4228>,1.079,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE9>arrange for,2.159,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"In genr<BACKSPACE1>erall,",1.2,end PP,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,13
I beleive,2.609,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13
<BACKSPACE5>ive <BACKSPACE3>ev e<BACKSPACE2>e,5.663,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
it would be ideal of <BACKSPACE3>if the<BACKSPACE1> <BACKSPACE1>e first couple f<BACKSPACE1>of dates b<BACKSPACE1>were done online.,3.471,end sentence,11,46,NA,NA,1,1,NA,NA,NA,NA,NA,NA,13
I think doing it this way is <BACKSPACE3>,3.504,end clause,0,0,2,NA,1,NA,1,1,NA,NA,NA,NA,13
"makes a lot of sent <BACKSPACE2>nce <BACKSPACE4>ce <BACKSPACE3>se, cosndieri<BACKSPACE5>d<BACKSPACE2>dering <BACKSPACE8>ndi",2.829,mid word,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13
<BACKSPACE2>sidering a lot of factors.,2.877,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13
"Fro <BACKSPACE3>or intstance,<BACKSPACE14>",14.049,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
These,1.039,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,13
issues,7.535,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<BACKSPACE7>factors,5.134,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"icl<BACKSPACE1>ncl<BACKSPACE4>nclude a wide range of issues,",1.375,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13
from,1.712,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
personal safety to,9.438,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13
spending resources on something that could have been doe <BACKSPACE2>ne in much an easi<BACKSPACE1>ier way.,6.785,end sentence,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,13
"ri<BACKSPACE2>Firsr<BACKSPACE1>tly,",12.544,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
one main concen<BACKSPACE1>rns of woem<BACKSPACE2>men,2.751,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"d<BACKSPACE2>wh<BACKSPACE2> when they are<BACKSPACE14>, when they are enga<BACKSPACE4>planning to have adat<BACKSPACE3> date,",1.679,end clause,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,13
in<BACKSPACE1>s related to the,2.142,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
degree to which the <BACKSPACE1>y are,1.069,end VP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,13
comfortable to<BACKSPACE2>wot<BACKSPACE2>ith the persion<BACKSPACE3>on. There ar e<BACKSPACE2>e,2.351,end VP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,13
a lot of issue <BACKSPACE1>s concerin,1.087,mid word,0,8,1,NA,NA,NA,NA,NA,NA,NA,1,NA,13
<BACKSPACE2>ning this.,23.616,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13
"Regart<BACKSPACE1>ding this issue,",1.792,end PP,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,13
online dates an<BACKSPACE2>can be a very useful,2.079,mid NP,0,20,1,NA,NA,NA,1,NA,NA,NA,NA,NA,13
tool inb he<BACKSPACE4> helping,1.039,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13
with them,2.641,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13
", and pri<BACKSPACE1>oviding them with a",1.055,mid NP,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
sort of tool th<BACKSPACE1>o get to knowth<BACKSPACE2> the b<BACKSPACE1>person they hope to date better.,16.574,end sentence,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,13
Just think about<BACKSPACE16>One can thib<BACKSPACE1>nk about many instances in the pase<BACKSPACE1>t where,1.536,end NP,0,5,1,1,NA,1,1,NA,NA,NA,1,NA,13
having a,3.647,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
da<BACKSPACE2> datae <BACKSPACE3>e c<BACKSPACE1>ol<BACKSPACE1>nline would have ha<BACKSPACE2>,2.24,end VP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,13
prevented manny<BACKSPACE2>y issue<BACKSPACE5>tragic events in,1.375,mid PP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13
<BACKSPACE3>.,8.96,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"Besides,",3.887,end NP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,13
the flourishinbg <BACKSPACE3>ng<BACKSPACE2>g i<BACKSPACE1>of using online meerin<BACKSPACE3>ting platforms hav <BACKSPACE2>s a a <BACKSPACE2>be<BACKSPACE4>been a maj<BACKSPACE1>o<BACKSPACE1>jor,12.783,mid NP,0,17,1,NA,NA,1,1,NA,NA,NA,NA,NA,13
issue <BACKSPACE6>,8.96,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<BACKSPACE15> <BACKSPACE1>s a<BACKSPACE1>paved the way for mor e<BACKSPACE2>e mainstream usage of such,1.775,mid NP,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13
pl<BACKSPACE10>,3.488,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<LEFT43><RIGHT2> been,4,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<LEFT12>,4.831,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<HIGHLIGHT 855:806><HIGHLIGHT 855:806>,1.359,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<HIGHLIGHT 855:806><MOUSECLICK><HIGHLIGHT 855:806><MOUSECLICK>,3.794,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<SPACE>,1.109,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<MOUSECLICK>Gemera,1.253,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
Gemera,1.283,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
<BACKSPACE7><UP1>,1.936,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
